Country,Region_2015,Happiness Rank_2015
Oman,Middle East and Northern Africa,22.0
Somaliland region,Sub-Saharan Africa,91.0
Mozambique,Sub-Saharan Africa,94.0
Lesotho,Sub-Saharan Africa,97.0
Swaziland,Sub-Saharan Africa,101.0
Djibouti,Sub-Saharan Africa,126.0
Central African Republic,Sub-Saharan Africa,148.0
