,mean,max,min
Economy (GDP per Capita),0.8461372151898726,1.69042,0.0
Family,0.9910459493670887,1.4022299999999999,0.0
Health (Life Expectancy),0.6302593670886079,1.02525,0.0
Freedom,0.4286149367088611,0.66973,0.0
Trust (Government Corruption),0.14342183544303794,0.55191,0.0
Generosity,0.23729550632911403,0.79588,0.0
Dystopia Residual,2.098976772151899,3.6021400000000003,0.32858000000000004
