word,rank,frequency
certain,456,195
All,457,194
afraid,458,193
unclean,459,193
host,460,192
sat,461,192
stone,462,192
ground,463,192
yourselves,464,191
door,465,190
six,466,190
book,467,188
sheep,468,188
tell,469,188
broken,470,186
twelve,471,186
while,472,186
doth,473,185
bare,474,185
returned,475,184
cannot,476,184
slain,477,183
within,478,183
third,479,182
blessed,480,182
beast,481,181
Of,482,181
women,483,181
judge,484,180
though,485,180
elders,486,179
wall,487,179
began,488,179
call,489,179
river,490,179
country,491,179
stones,492,178
mountains,493,177
commandment,494,177
Ephraim,495,177
To,496,177
reigned,497,176
throne,498,176
Paul,499,176
number,500,175
body,501,175
kept,502,175
hold,503,174
How,504,174
families,505,174
cry,506,174
arose,507,173
sins,508,173
having,509,173
knowledge,510,171
commandments,511,171
thirty,512,170
battle,513,170
rejoice,514,170
far,515,170
receive,516,170
built,517,169
knew,518,169
second,519,169
Spirit,520,168
Moab,521,168
destroyed,522,167
reign,523,167
Benjamin,524,166
joy,525,165
could,526,165
Peter,527,164
throughout,528,162
darkness,529,162
passed,530,161
till,531,161
able,532,160
Take,533,159
filled,534,159
received,535,159
understanding,536,159
build,537,158
sun,538,158
salvation,539,158
born,540,158
lifted,541,158
border,542,158
whether,543,157
east,544,157
trees,545,157
find,546,156
beasts,547,155
fifty,548,155
Is,549,154
vessels,550,154
back,551,154
Zion,552,153
cattle,553,153
forty,554,153
wherein,555,152
ears,556,151
lie,557,151
new,558,150
heathen,559,150
Jeremiah,560,149
Thy,561,148
Manasseh,562,147
living,563,147
desolate,564,147
grace,565,146
gather,566,146
fled,567,146
carried,568,145
thence,569,145
times,570,145
sake,571,145
Joab,572,145
Samuel,573,144
gates,574,144
Holy,575,144
nation,576,144
Moreover,577,144
enter,578,144
looked,579,143
south,580,143
offered,581,143
Why,582,142
counsel,583,141
here,584,141
wood,585,140
money,586,140
why,587,140
believe,588,139
captain,589,139
valley,590,139
burn,591,138
John,592,138
opened,593,137
look,594,137
whatsoever,595,136
Be,596,136
half,597,136
mountain,598,136
sanctuary,599,136
sabbath,600,136
camp,601,136
shewed,602,135
houses,603,135
witness,604,135
break,605,135
goeth,606,135
become,607,135
neighbour,608,135
heavens,609,133
clean,610,133
whosoever,611,132
statutes,612,132
service,613,132
meet,614,132
honour,615,132
north,616,132
Isaac,617,132
rose,618,131
wives,619,131
stranger,620,131
most,621,131
must,622,131
fat,623,130
Which,624,130
hope,625,129
hid,626,129
incense,627,129
Gentiles,628,129
tongue,629,129
Hezekiah,630,128
numbered,631,128
captivity,632,127
trust,633,127
answer,634,127
brass,635,126
judgments,636,126
husband,637,126
maketh,638,126
rise,639,126
appointed,640,126
giveth,641,126
wickedness,642,125
sought,643,125
kill,644,125
master,645,124
Samaria,646,124
family,647,123
hearken,648,123
beside,649,123
wind,650,123
feast,651,123
chosen,652,123
Come,653,122
walked,654,122
court,655,122
ashamed,656,122
One,657,122
pieces,658,121
Jonathan,659,121
didst,660,121
Blessed,661,120
seventh,662,120
perish,663,120
ear,664,120
help,665,120
lips,666,119
asked,667,119
sinned,668,119
captains,669,119
Yet,670,119
spoil,671,118
myself,672,118
Assyria,673,118
generations,674,118
lo,675,117
presence,676,116
believed,677,116
sister,678,116
smite,679,116
suburbs,680,115
eye,681,114
mayest,682,114
open,683,114
firstborn,684,113
chariots,685,113
hearts,686,113
tribes,687,113
vain,688,112
fine,689,112
leave,690,112
bless,691,112
rock,692,111
horses,693,111
flock,694,111
heads,695,110
slay,696,110
enemy,697,110
Hear,698,110
desire,699,110
prayer,700,109
spread,701,109
Absalom,702,108
followed,703,108
alone,704,108
depart,705,108
sweet,706,108
worship,707,108
dust,708,108
cloud,709,107
generation,710,107
entered,711,107
bullock,712,107
whither,713,107
present,714,106
became,715,106
possess,716,106
trouble,717,106
better,718,105
